yccA,8.162162162
motA,8.162162162
ompC,8.162162162
yqaE,8.162162162
ppiA,8.162162162
cpxR/cpxP1,8.162162162
psd,8.162162162
tsr,8.162162162
skp,7.783783784
srkA,7.783783784
rseD,7.675675676
bacA,7.648648649
ompF1,7.621621622
slt,7.621621622
ung,7.486486486
ftnB,7.378378378
ppiD2,7.27027027
spy,7.27027027
csgD/csgB5,7.135135135
bamE,7.108108108
yidQ,7.081081081
csgD/csgB4,7.054054054
tomB,7.027027027
fabB,6.891891892
aroG,6.837837838
csgD/csgB6,6.756756757
fabA,6.621621622
cpxR/cpxP2,6.486486486
csgD/csgB1,6.243243243
marR,6.216216216
ldtD,5.945945946
yebE,5.837837838
csgD/csgB2,5.621621622
degP1,5.486486486
ppiD3,5.432432432
mdtA,5.108108108
ppiD1,4.972972973
